,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,un_pmra,un_pmdec,zero_point,un_plx,gmm_prob
167,1636148068921376768,Gaia DR3 2052797421769132288,2052797421769132288,278781266,2016.0,290.3921482491558,0.010386058,37.97388497264958,0.010798512,0.7348001648988792,0.012540939,56.327293,3.810844,1.3760439950186714,0.013223517,-3.5537351960434647,0.013592535,-0.008560588,0.18875355,0.10929412,-0.17112367,0.08259452,-0.13458897,-0.10541625,-0.09551414,-0.19803037,-0.07927727,365,0,365,0,0.5583996,376.56757,0.0,0.0,31,False,1.5274502,,,,,,,,43,27,0.019478435,46,18,0,0.00645837,87.80629,0,0,1.0199502,0.2604216,0.06142187,0.012864723,0.099530466,-73.47745,68.760735,28.048092,-32.289543,False,366,62109.494286976704,9.737878,6378.1343,13.704472,40,31513.899250435355,25.787409,1222.0653,14.092287,42,43666.51614125923,19.910278,2193.1646,13.147524,1.2104497,0.0,0.0,0.0,0.0,0.0,0.9447632,0.38781548,0.5569477,1.7960066,4.571857,2.0,15.0,4.0,14.0,8.475004,,,916.9259,,5750.0,4.0,-0.25,222.0,,,,12.969946,0.03227918,11.0,,NOT_AVAILABLE,70.2039576391293,10.870977661968656,302.37933443064554,59.14207329249443,False,False,0,True,True,False,False,False,True,True,False,1.02855556e-13,5.1375836e-13,0.99991757,5717.714,5703.437,5729.8364,3.9816,3.9734,3.991,-0.2849,-0.3006,-0.2707,1205.8058,1182.7277,1226.7703,0.3539,0.3448,0.3619,0.2941,0.2864,0.3008,0.1586,0.1544,0.1622,MARCS,0.9609806843291062,0.38248587050417227,-0.028403,1.7067142332127596,2.2855247754202583e-57
313,1636148068921376768,Gaia DR3 2052797765366583040,2052797765366583040,830590434,2016.0,290.4538039514764,0.012526292,38.013832226769686,0.013756805,0.7426031084219722,0.015643012,45.641663,3.3341262,-1.8160765228263789,0.01708986,2.796115883478594,0.016831404,0.04171557,0.09723696,-0.017665153,-0.06914415,0.16903692,-0.06874084,-0.13313195,-0.11039034,-0.16949695,-0.037748784,376,0,374,2,-0.96099705,346.1697,0.0,0.0,31,False,1.4538603,,,,,,,,44,28,0.023916101,47,18,0,0.0037848626,148.02318,0,0,0.9639421,0.18718731,0.07931385,0.07876118,0.14179163,-91.76876,-86.8461,-6.304728,-26.861105,False,379,33134.465065833945,5.1231885,6467.5474,14.386667,46,14172.153450868029,14.185476,999.0608,14.959952,44,26960.8072782647,12.412331,2172.0986,13.671063,1.241395,1.0,0.0,0.0,0.0,0.0,1.2888889,0.5732851,0.7156038,-42.571156,3.1434207,2.0,20.0,8.0,18.0,6.212793,,,916.9259,,5000.0,3.5,0.0,222.0,,,,13.39141,0.06871947,12.0,,NOT_AVAILABLE,70.26223327611757,10.844878358464412,302.49165567696264,59.167374756950295,False,False,0,True,True,False,False,False,False,True,False,1.02389424e-13,5.1143004e-13,0.99996364,,,,,,,,,,,,,,,,,,,,,,,0.9410319325863467,0.6019565962716957,-0.02863,2.1065104391013554,2.361628018035915e-105
416,1636148068921376768,Gaia DR3 2052798035944728320,2052798035944728320,533378205,2016.0,290.4174931779191,0.0068925926,38.04433320412176,0.007788382,0.6011362792409812,0.008493792,69.91698,6.962455,2.4723222682118786,0.009005196,6.508717363998299,0.009785754,-0.018335236,0.102681085,0.14073615,-0.100009605,0.09778219,-0.10008161,-0.18312085,-0.17317326,-0.06422969,-0.05145752,395,395,394,1,-2.6561093,472.14825,0.013805649,0.27333394,31,False,1.4295841,,,,,,,,46,28,0.013727576,49,20,0,0.003978179,127.356476,0,0,0.90547246,,,,,,,,,False,396,252156.35295822055,46.56178,5415.5225,12.183192,45,100050.04330307875,72.13196,1387.0419,12.837999,44,217857.9082929454,104.979965,2075.2332,11.402462,1.2607572,0.0,20.0,0.0,23.0,0.0,1.4355373,0.6548071,0.78073025,-125.93492,0.40451223,1.0,20.0,4.0,17.0,39.374695,-0.45810506,0.5757121,887.93616,5.395256,4750.0,2.5,-0.25,222.0,12.214137,5.656302,16.0,11.083111,0.042901665,16.0,42.680157,NOT_AVAILABLE,70.27733766734376,10.883972379379768,302.4540552597473,59.20448803816662,False,False,0,True,True,True,False,False,True,True,False,1.02067064e-13,5.0981983e-13,0.9999955,4703.227,4697.798,4712.565,2.3401,2.3266,2.3557,-0.514,-0.5171,-0.5101,1674.2993,1644.7241,1699.9854,0.6516,0.6459,0.6613,0.5014,0.4968,0.509,0.2675,0.265,0.2716,MARCS,0.36424037900661954,0.150348424316717,-0.007276,1.412956145439201,4.612423788348705e-175
423,1636148068921376768,Gaia DR3 2052798040244483968,2052798040244483968,561097775,2016.0,290.41570017537555,0.014284896,38.04033882645335,0.015506325,0.902717601846408,0.017480168,50.051327,3.0048697,2.5520463240985745,0.019284008,1.5862855908816846,0.019332627,0.035309713,0.11985436,0.013329537,-0.1057193,0.15668422,-0.10883014,-0.15747657,-0.13685305,-0.15232384,-0.0012345292,397,0,394,3,-2.1122382,342.08704,0.0,0.0,31,False,1.499944,,,,,,,,47,28,0.02712644,49,20,0,0.0053083156,138.34135,0,0,0.9244017,0.16706668,0.0624487,0.059926227,0.094539344,-67.192055,87.78481,20.53317,-33.34066,False,393,23340.255055559803,4.6285195,5042.704,14.767103,46,11155.390597625828,13.598578,820.3351,15.2198305,46,17355.042059803058,11.734934,1478.9211,14.149331,1.2215133,0.0,1.0,0.0,0.0,0.0,1.0704994,0.45272732,0.6177721,-32.950375,5.904899,2.0,18.0,5.0,15.0,3.552748,,,887.93616,,5500.0,4.0,0.0,222.0,,,,13.979291,0.069772534,15.0,,NOT_AVAILABLE,70.27305184776553,10.883486932264196,302.4492861493422,59.20102585654106,False,False,0,True,True,False,False,False,True,True,False,1.026508e-13,5.127358e-13,0.9999378,5675.131,5637.5205,5725.994,4.061,3.9996,4.1138,0.0411,0.0022,0.0956,1278.3685,1156.9515,1430.7228,0.4696,0.4449,0.5049,0.3824,0.3621,0.4118,0.2032,0.1924,0.2186,PHOENIX,0.7556292304690603,1.2187355865254121,-0.027812,1.9363938361505602,8.754682427960816e-100
493,1636148068921376768,Gaia DR3 2052798212043098112,2052798212043098112,709602066,2016.0,290.33915391332306,0.007118844,38.00574616036535,0.007628826,0.5895550668688425,0.008537818,68.42159,4.489884,3.744887818723479,0.009262859,-2.4768673354087865,0.00950337,-0.04402577,0.14598747,0.15690503,-0.16367187,0.089898326,-0.14739516,-0.10074917,-0.123511486,-0.14300083,-0.09459579,374,374,374,0,-3.0612166,401.76746,0.0,0.0,31,False,1.4040743,,,,,,,,44,27,0.013708563,47,18,0,0.00024094648,141.09248,0,0,0.88859004,,,,,,,,,False,376,231738.2309330025,31.405125,7378.994,12.274873,43,85014.39843399618,47.82303,1777.6875,13.014811,44,209452.41227106124,51.43033,4072.5466,11.445182,1.2706872,0.0,0.0,0.0,0.0,0.0,1.5696287,0.7399378,0.82969093,-16.99286,0.40314397,1.0,21.0,2.0,18.0,40.479122,0.7651871,0.2959127,916.9259,7.0393677,4500.0,2.0,-0.25,222.0,6.3945117,4.2307987,19.0,11.114725,0.008714109,19.0,,NOT_AVAILABLE,70.21444733869916,10.92248906189764,302.317668562669,59.18402984272741,False,False,0,True,True,False,False,False,True,True,False,1.0207846e-13,5.098768e-13,0.99999446,4589.8774,4585.4927,4593.999,2.3851,2.3772,2.3932,0.1743,0.1733,0.175,1918.0927,1900.781,1934.1757,0.6651,0.6596,0.6698,0.4984,0.4941,0.502,0.2593,0.257,0.2612,PHOENIX,0.24734676840486594,0.3836850631498012,-0.005384,1.4481799037611183,7.823471331104963e-83
627,1636148068921376768,Gaia DR3 2052798521280766208,2052798521280766208,320970417,2016.0,290.3442142850303,0.010148554,38.0338220317758,0.010809338,0.2852071480560629,0.012333382,20.580175,8.899082,-2.47500402768895,0.013638333,-8.547983138541827,0.01367607,0.010785552,0.24719732,0.14567395,-0.18245076,0.14877164,-0.16524519,-0.15193962,-0.099477,-0.20855647,0.000456679,359,0,359,0,0.5843612,348.2501,0.0,0.0,31,False,1.3706604,,,,,,,,43,26,0.019278323,46,18,0,0.005837585,129.44756,0,0,1.0210935,0.19638577,0.07643292,0.010461396,0.004597866,-69.202324,78.14006,41.92558,-25.620821,False,355,71993.96464431018,15.858408,4539.798,13.5441265,45,23237.073329871888,18.419807,1261.5264,14.423089,44,70346.82373966207,28.393536,2477.5647,12.629785,1.2998853,0.0,1.0,0.0,0.0,0.0,1.7933044,0.8789625,0.9143419,1.4356852,0.8211296,2.0,20.0,5.0,16.0,15.7163725,,,916.92584,,4250.0,2.0,0.25,222.0,,,,12.299206,0.021459222,15.0,,NOT_AVAILABLE,70.24192573905691,10.93121918645205,302.3399685477483,59.20998636562834,False,False,0,True,True,False,False,False,False,True,False,1.0205361e-13,5.0975267e-13,0.99999696,,,,,,,,,,,,,,,,,,,,,,,0.5510428608366701,0.15999177558430416,-0.031384,4.324359359175542,5.536960664836586e-47
751,1636148068921376768,Gaia DR3 2052798864878210944,2052798864878210944,798940169,2016.0,290.3994979294499,0.010958793,38.07048005363396,0.011838973,0.31110147263828447,0.013363419,21.092316,4.680257,-4.516250477293566,0.014869634,-1.2281221637884152,0.014446465,0.05314389,0.15190251,-0.13394138,-0.10651114,0.19515243,-0.11521913,-0.19053964,-0.15035887,-0.15649848,-0.06262788,374,0,373,1,0.12938052,365.3102,0.0,0.0,31,False,1.4295639,,,,,,,,44,26,0.020967456,48,21,0,0.010034803,122.87911,0,0,1.0038657,0.14579663,0.07656121,0.055309817,0.111631505,-73.44468,-80.80388,-8.133578,-20.112284,False,377,49669.58288826732,7.8903327,6294.992,13.947141,45,19699.270644672863,13.731239,1434.6317,14.602417,44,42910.80692506401,19.366167,2215.7615,13.166479,1.2605315,0.0,0.0,0.0,0.0,0.0,1.4359379,0.6552763,0.7806616,-42.774944,1.9218596,2.0,22.0,3.0,20.0,10.115396,,,916.8518,,4750.0,2.5,-0.75,222.0,,,,12.853678,0.040766813,19.0,,NOT_AVAILABLE,70.29492621585933,10.908182393502544,302.4412523897292,59.23349665136449,False,False,0,True,True,False,False,False,False,True,False,1.020579e-13,5.0977413e-13,0.9999964,,,,,,,,,,,,,,,,,,,,,,,0.32924732750675206,1.1763052101784952,-0.029236,4.2955177571716465,1.7973347098094696e-71
762,1636148068921376768,Gaia DR3 2052798899237953792,2052798899237953792,291205986,2016.0,290.4073833730072,0.03067521,38.0703641586297,0.03377293,0.7175405137934803,0.03756239,18.357658,3.8809454,-1.286424076930757,0.04244531,-3.6615366344011546,0.041407518,0.035511933,0.12964958,-0.17013343,-0.07645736,0.19260813,-0.084790125,-0.22334795,-0.11702885,-0.14677362,-0.038894225,396,0,395,1,33.99582,2356.6685,0.39408594,67.36786,31,False,1.50611,,,,,,,,46,27,0.0594326,50,22,0,0.011461482,132.237,0,0,2.4369774,0.13364042,0.08196687,0.051149376,0.11007561,-75.64807,81.67199,-1.4861604,-25.751867,False,399,31515.52670538947,10.053915,3134.652,14.441055,43,15340.189020496624,18.24919,840.59564,14.873965,43,23415.53523090457,17.24698,1357.6599,13.824135,1.2297343,0.0,0.0,0.0,2.0,0.0,1.0498304,0.43290997,0.6169205,-9.408012,4.4435973,2.0,19.0,4.0,17.0,4.7967196,,,916.8518,,5500.0,4.0,-0.5,222.0,,,,13.594236,0.085627,15.0,,NOT_AVAILABLE,70.29759522201891,10.90255370671154,302.45287182363586,59.23170222129728,False,False,0,True,True,False,False,False,True,True,False,1.0236426e-13,5.113043e-13,0.99996614,5916.1987,5889.073,5937.853,4.1752,4.1495,4.1967,-0.0477,-0.0746,-0.0248,1119.2474,1077.4154,1168.1567,0.6971,0.6819,0.7104,0.5767,0.5637,0.5879,0.3106,0.3036,0.3166,MARCS,3.2994803782955517,1.1308781567543214,-0.027983,5.234880717942438,1.706219326641576e-30
874,1636148068921376768,Gaia DR3 2052799208475611776,2052799208475611776,1636762052,2016.0,290.4723930006926,0.00876524,38.031728549126726,0.010103313,0.347752698627781,0.011223364,28.347,3.321502,-1.5244399252724614,0.011724342,-2.951009605141988,0.0119559,-0.013339496,0.05982793,0.068039246,-0.099925295,0.2079104,-0.13811827,-0.13340063,-0.19990227,-0.14796679,0.0028515472,381,0,379,2,-0.13172887,364.74716,0.0,2.0784012e-15,31,False,1.4273438,,,,,,,,44,27,0.016779207,47,18,0,0.005117823,140.44913,0,0,0.9942977,0.19634163,0.109713525,0.043234512,0.07114867,-77.28788,81.75676,12.129573,-34.04523,False,381,87171.26563202411,11.768293,7407.299,13.336433,44,34608.38185400509,26.143612,1323.7797,13.990589,43,74831.62322071134,30.781633,2431.0479,12.562682,1.2554597,0.0,2.0,0.0,0.0,0.0,1.427907,0.65415573,0.77375126,-37.798225,0.95854235,2.0,19.0,4.0,16.0,14.89529,,,916.9259,,4750.0,2.5,0.0,222.0,,,,12.273221,0.021524351,15.0,,NOT_AVAILABLE,70.28515419350089,10.839592454827798,302.5286380835121,59.18062540871835,False,False,0,True,True,False,False,False,False,True,False,1.02108467e-13,5.100267e-13,0.99999154,,,,,,,,,,,,,,,,,,,,,,,0.7690917697464872,0.4051460889577397,-0.029604,3.2273981033898425,0.0016925243187474286
898,1636148068921376768,Gaia DR3 2052799242835366912,2052799242835366912,1075638645,2016.0,290.49815062386494,0.012945745,38.03810368217217,0.014036573,0.9232380132071356,0.01594817,56.159924,1.7474532,1.7123288824253144,0.017563598,-0.3486007793738388,0.017672602,0.011622739,0.083296,-0.043891855,-0.039290834,0.1289674,-0.025842236,-0.21106143,-0.086553305,-0.15313724,-0.075768195,371,8,371,0,0.28081653,381.0386,0.0,2.1009932e-15,31,False,1.5438309,,,,,,,,43,28,0.025378294,45,19,0,0.006165076,146.23677,0,0,1.0094835,,,,,,,,,False,375,31726.63290093413,6.273784,5057.017,14.433807,43,16654.88354350493,15.359893,1084.3099,14.784688,41,21488.65104332449,19.0682,1126.9365,13.917373,1.202256,0.0,0.0,0.0,1.0,0.0,0.8673153,0.35088062,0.51643467,-32.136414,10.042931,2.0,18.0,2.0,18.0,5.06542,,,916.85187,,6250.0,4.5,0.25,222.0,,,,13.620933,0.13817212,16.0,,NOT_AVAILABLE,70.30006706079834,10.824175245610215,302.5701281957217,59.18124818550994,False,False,0,True,True,False,False,False,False,True,False,1.0313054e-13,5.1513183e-13,0.99989027,,,,,,,,,,,,,,,,,,,,,,,1.025714054132125,5.069581895870615,-0.02759,1.7274169576921337,8.01284239252671e-89
