ID,TENTATIVE_TYPE,KIC,KIC_STATUS,NEW DETECTION,NAME,GAIA_ID,LITERATURE,MEMBER,VAR,VAR_REF,CMD,PERIOD,Q_PHASED,PHASED_LC,FT,COORDINATES,RA,DEC,DIST,Peph,Teph,EPH,GAIA_DR3_RV,GAIA_DR3_RV_ERR,LINK,FREQUENCY,PLX,PLXERR,PMRA,PMRAERR,PMDEC,PMDECERR,BP_RP,BPRP_EXCESS,GMAG,J_M,H_M,K_M,I_ROSVIK,IERR_ROSVIK,Vmag,e_Vmag,U_B,e_U_B,B_V,e_B_V,V_Milliman,VI_Miliiman,g,gerr,r,rerr,i,ierr,z,zerr,y,yerr,NOTES,USED_SPEC,Teff,logg,Rv,Fe/H,PETERS fits,NOT,APOGEE,LAMOST6_id,HECTOSPEC,APO35,XT_Teff,XT_Tefferr,XT_logg,XT_loggerr,XT_Rv,XT_Rverr,[M/H],XT_class,WOCS_XXIV,WOCS_LX,CLASS,TEFF,DR2_TEFF,DR2_LOGG,DR2_RV,DR2_RVERR,RV_HOLE,RV_HOLE_ER,RV_LEE,RV_LEE_ER,RV_PLASTIAS,RV_PLASTIAS_ER,RV_MILLIMAN,RV_MILLIMAN_ER,RV_GAO,RV_GAO_ER,RV_PROB,P5D-PM-POS-PLX,P4D-PM-POS,P3D-PM-PLX,P5D_nf,P4D_nf,P3D_nf,REF
2,Binary,,nokic,new detection,19 41 0.81 +40 18 20.35,,,?,binary,NEW,?,0.234188188,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_002.png,https://drive.google.com/file/d/1S1S_1HNPp1HSE80omiD5H0HE8QWtHEWg/view?usp=sharing,https://drive.google.com/file/d/1NaHRm1QFFJ9Ru1jfp5v4Ax-sfpc_lxjk/view?usp=sharing,19 41 0.81 +40 18 20.35,295.2533608,40.3056534,,0.2341880(5),2454964.6810(19),T = (0.23418798862859166 +/- 5.254778510216234e-07)*E + (2454964.6810316797 +/- 0.0018502951526716475),,,http://aladin.u-strasbg.fr/AladinLite/?target=295.2533608%2040.3056534,4.270070189,,,,,,,,,,16.583,16.023,16.599,null,null,,,,,,,,,,,,,21.0889,0.0337,20.2444,0.0563,19.8286,0.1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,WUMa wtype tough oc
3,Rotational,5112059,nodata,new detection,[PGM2013] 797367,Gaia DR3 2076489148574565888,,cluster,rotating,NEW,MS,22.300879,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_003.png,https://drive.google.com/file/d/1db63_x4oDWJSh84REb0yhgdW-AGcu0TJ/view?usp=sharing,https://drive.google.com/file/d/1L0CkM5qUNHGuuVuRiHu_rc0KFfzJhsdQ/view?usp=sharing,19 40 55.42 +40 17 27.92,295.2309309,40.29108831,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2309309%2040.29108831,0.04484128182,0.4052341343,0.07898974,-2.84560855,0.0877011,-3.689994266,0.09952323,1.1833878,1.2127676,17.900526,16.444,16.185,16.516,null,null,18.211,0.007,0.653,0.059,0.964,0.013,,,18.5643,0.0051,17.8784,0.0049,17.6201,0.0038,17.5151,0.0041,17.4311,0.0119,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,0.9707418357,0.9400713551,0.9810684549,0.9707418357,0.9400713551,0.9810684549,
4,Binary,,nokic,,Cl* NGC 6819 SHLP 25645,,,?_field_Plastias13,contact,ST05,?,0.2734131361,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_004.png,https://drive.google.com/file/d/1X4MGkby4tx0jg4QDlPrykIer4jKr-TPs/view?usp=sharing,https://drive.google.com/file/d/1CrhLVtmWp2EiE1T8OzqsUlw0bNohTdQ1/view?usp=sharing,19 40 57.99 +40 19 0.3,295.241625,40.31675,,0.27341359(26),2454964.8998(7),T = (0.27341359180411867 +/- 2.6397208584239935e-07)*E + (2454964.8998148968 +/- 0.0007069357769171979),,,http://aladin.u-strasbg.fr/AladinLite/?target=295.241625%2040.31675,3.657468746,,,,,,,,,,null,null,null,null,null,,,,,,,,,21.8798,0.0063,21.5381,0.0443,21.4685,0.0936,19.1875,0,,,EB WUMA,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,,,,WUMa wtype tough oc https://academic.oup.com/mnras/article/358/3/795/1026583
5,Rotational,,nokic,,V* V2382 Cyg,Gaia DR3 2076489006828963200,,field,rotating_BY Dra_vsx,ST02,below MS,4.219472,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_005.png,https://drive.google.com/file/d/1BK1bd4uOS1EeI01gefvbYZfBDcjmOiUE/view?usp=sharing,https://drive.google.com/file/d/1phQgDL3weCaKAAWPKhoH9ZC16yuoX60Z/view?usp=sharing,19 40 48.43 +40 16 19.3,295.2017917,40.27202778,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2017917%2040.27202778,0.2369964773,0.27555619,0.42898968,-0.3063844672,0.49662104,-1.64922227,0.5154268,1.4229755,1.3673391,20.191475,null,null,null,null,null,,,,,,,,,21.1775,0.0391,20.1974,0.0189,19.8416,0.0335,19.6143,0.0291,19.4763,0.0538,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,2.77E-94,8.04E-73,1.52E-90,
6,Rotational,5111748,nodata,new detection,2MASS J19403862+4016336,Gaia DR3 2076491656835399552,,field,rotating,NEW,MS,2.253426,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_006.png,https://drive.google.com/file/d/1Hr2hxqiEDq1UaNOlM05IN0QPRIeNDbFw/view?usp=sharing,https://drive.google.com/file/d/1Up344G5TVIExTWteSQHP8FSNUbO_5UFm/view?usp=sharing,19 40 38.63 +40 16 33.57,295.160958,40.27599131,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.160958%2040.27599131,0.4437687326,0.5963567088,0.018399628,-0.8080269354,0.02035011,-6.175920337,0.020769512,0.7709389,1.2089185,14.809425,13.782,13.56,13.562,null,null,14.907,0.003,-0.008,0.005,0.533,0.004,14.95,0.69,15.1523,0.0017,14.805,5.00E-04,14.7067,0.0042,14.6905,0.003,14.6569,0.0023,crowded 6+35+20,,,,,,,,,,,,,,,,,,,,19018,19018,,nan,,,,,15.25,0.52,,,15.25,0.52,15.25,0.52,,,0.6347665998,3.24E-119,2.31E-91,8.35E-115,3.24E-119,2.31E-91,8.35E-115,
7,Binary,5199669,nodata,new detection,2MASS J19405767+4018075,Gaia DR3 2076489182934321920,,field,contact,Heinze18,MS,0.758954,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_007.png,https://drive.google.com/file/d/1hF7raAY4k89QKz_KNE22du9lBbYbpdqS/view?usp=sharing,https://drive.google.com/file/d/1tQf9zNXJGTyzZXZ-0yvjTGlpAOH-oABX/view?usp=sharing,19 40 57.68 +40 18 7.44,295.2403189,40.30206604,,0.758956896(42),2454964.903723(46),T = (0.758956896391379 +/- 4.240624626886709e-08)*E + (2454964.9037229926 +/- 4.610301950284091e-05),nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2403189%2040.30206604,1.317602911,0.2129963437,0.021581179,-0.8800159134,0.02578842,-3.028546358,0.024833249,0.7038107,1.1787242,15.226411,14.532,14.354,14.161,null,null,15.272,0.004,-0.035,0.006,0.383,0.004,15.5,0.65,15.6111,0.0136,15.1897,0.009,15.1605,0.0026,15.0672,0.009,15.2543,0.0214,,,,,,,,,,,,,,,,,,,,,,31015,,nan,,,,,-84.11,0.4,,,-84.11,0.4,-84.11,0.4,,,0.09012242729,8.13E-53,5.21E-42,1.44E-50,8.13E-53,5.21E-42,1.44E-50,WUMa a type Flat bottom
10,Rotational,,nokic,new detection,GAIA DR2 2076488972469006720,Gaia DR3 2076488972469006720,,field,rotating,NEW,below MS,4.352292,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_010.png,https://drive.google.com/file/d/1m4QqUjcGHsIBYqnEN1SHsIgoP1BPwMRw/view?usp=sharing,https://drive.google.com/file/d/1LUggzd9gGKM6sju0Gktlqnbu4r9SUXf2/view?usp=sharing,19 40 58.28 +40 17 38.09,295.2428458,40.29391466,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2428458%2040.29391466,0.2297639956,0.101795581,0.21727555,-2.973678983,0.24915229,-5.294739735,0.28769842,0.9924145,1.1847835,19.439415,null,null,null,null,null,19.708,0.02,0.231,0.134,0.766,0.038,,,19.9461,0.0118,19.4534,0.0118,19.2596,0.0252,19.1912,0.035,19.0977,0.033,,,,,,,,,,,,,,,,,,,,,,,,nan,5000,3,-30.31562,0.8551843,,,,,,,,,,,nan,,6.86E-15,,7.20E-19,6.86E-15,4.79E-18,
11,Pulsating,5199605,2lc,,KIC 5199605,Gaia DR3 2076489251653787904,,field,solar-like,Balona13,above RC,0.187,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_011.png,,,19 40 54.2 +40 18 15.97,295.2258357,40.30443665,,,,,-31.673122,0.33696902,http://aladin.u-strasbg.fr/AladinLite/?target=295.2258357%2040.30443665,5.347593583,1.006975086,0.011057975,-7.387143419,0.012752207,1.71267266,0.0124978125,1.3843546,1.2496921,11.4962635,9.737,9.166,9.017,null,null,,,,,,,11.79,1.38,12.536,,11.652,,11.246,,11.001,,10.869,,Solar like,APOGEE,4250(10),2.998(4),82.4(3),-0.215(0.059),https://xtgrid.astroserver.org/UZGYA4_306_Q0R63M_011_apStar-r8-2M19405420+4018159_dat.php?ref=Q0R63M,,http://skyserver.sdss.org/dr12/en/tools/explore/summary.aspx?apid=2M19405420+4018159,,,,,,,,,,,,3016,3016,,nan,,,,,-31.99,0.26,,,-31.99,0.26,-31.99,0.26,,,0.8652128594,,,,0,0,0,
13,Rotational,5111658,nodata,new detection,GAIA DR2 2076491588108521600,Gaia DR3 2076491588108521600,,field,rotating,NEW,MS,11.236285,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_013.png,https://drive.google.com/file/d/1UyY9ebs2pZne2_1emYCPRCWwmZwfTBnx/view?usp=sharing,https://drive.google.com/file/d/1k6YAKs6dUvOaxKg24Se-VP9l9lsQR8BW/view?usp=sharing,19 40 33.67 +40 15 52.41,295.1402952,40.26455942,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1402952%2040.26455942,0.08899738659,0.1532700678,0.11604535,-1.53845724,0.1311749,-2.729608373,0.14633693,1.3249226,1.4308685,18.43112,14.126,13.456,13.364,null,null,,,,,,,,,19.223,0.0131,18.4001,0.0125,18.0631,0.0084,17.909,0.018,17.7634,0.0167,overlap 42,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,5.35E-25,,7.07E-27,5.35E-25,1.09E-25,
15,Rotational,5199564,nodata,,Cl* NGC 6819 SHLP 26162,Gaia DR3 2076489212987407872,,field,rotating_lpv_vsx,ST05,below AGB,3.46119,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_015.png,https://drive.google.com/file/d/1IoujvgqT5dCot4lRpI3Nf61e6FGLqhi9/view?usp=sharing,https://drive.google.com/file/d/1kt5IECP2qvGd5lSmJ9IwX1UEN9U0eF-Y/view?usp=sharing,19 40 51.65 +40 18 19.74,295.2151905,40.30548457,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2151905%2040.30548457,0.2889179733,2.682464709,0.16021198,-2.442834254,0.17669168,-4.676999149,0.19070785,2.7920055,1.484833,18.809298,15.868,15.102,14.882,null,null,20.309,0.036,,,2.089,0.151,,,20.9216,0.0141,19.5329,0.0143,18.0685,0.0132,17.4109,0.0131,17.0813,0.0046,,,,,,,,,,,,,,,,,,,,,,,,5745,,,,,,,,,,,,,,,nan,,,,0.00E-02,5.05E-06,0.00E-02,
17,Rotational,5199551,nodata,new detection,GAIA DR2 2076489217294036352,Gaia DR3 2076489217294036352,,cluster,rotating,NEW,MS,23.166169,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_017.png,https://drive.google.com/file/d/1kveMlbNtIAOnz9kD9RxIp_0qQxm4E8is/view?usp=sharing,https://drive.google.com/file/d/1o_Euf6uCYlcKwtqaVjFRJJjhx5B2XgsX/view?usp=sharing,19 40 50.79 +40 18 10.81,295.2116256,40.3030022,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2116256%2040.30300220000001,0.04316639493,0.3978612129,0.065979205,-2.906072127,0.07096924,-3.91557488,0.07651967,1.0656853,1.2332448,17.495274,15.671,15.367,14.89,null,null,,,,,,,,,18.0849,0.0073,17.4858,0.0062,17.2461,0.0025,17.1481,0.0091,17.0919,0.0082,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,0.9776443594,0.9499939959,0.9898799869,0.9776443594,0.9499939959,0.9898799869,
18,Rotational,,nokic,new detection,GAIA DR2 2076488976768870656,Gaia DR3 2076488976768870656,,field,rotating,NEW,below MS,4.064114,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_018.png,https://drive.google.com/file/d/1-q9EJiYymZd4oDTdLFUlyVeud_rLOjpJ/view?usp=sharing,https://drive.google.com/file/d/10vc96rBkxamkHGNMZasHIXMN0ZJnfeZz/view?usp=sharing,19 41 0.78 +40 17 14.73,295.2532301,40.28742539,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.25323010000005%2040.28742539,0.24605609,0.5639565909,0.25680172,-1.277968818,0.29587364,-5.233198814,0.3494033,0.9371109,1.1406012,19.688078,null,null,null,null,null,19.965,0.024,-0.457,0.115,0.895,0.051,,,20.0634,0.0356,19.6928,0.014,19.593,0.0264,19.5771,0.0741,19.4805,0.1224,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,4.66E-57,3.74E-43,2.97E-55,4.66E-57,3.74E-43,2.97E-55,
20,Rotational,,nokic,new detection,GAIA DR2 2076491656828123904,Gaia DR3 2076491656828123904,,field,rotating,NEW,MS,11.675749,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_020.png,https://drive.google.com/file/d/1mA-rVCcCBvc6Go2jipcV4o4Uv2wEYcnX/view?usp=sharing,https://drive.google.com/file/d/1EIKKwHi8UGz4Vzc5Vf2XWJg6l3MvRe-b/view?usp=sharing,19 40 40.23 +40 16 33.7,295.1676447,40.27602841,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1676447%2040.27602841,0.08564761027,0.001848243475,0.19862452,0.09947817025,0.21791312,-0.8622524963,0.28424454,1.6057091,1.2348256,19.207188,null,null,null,null,null,19.895,0.025,,,1.267,0.061,,,20.3084,0.0094,19.2368,0.0074,18.7598,0.0131,18.5536,0.0107,18.4154,0.0216,overlap 35,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,2.40E-147,8.85E-111,1.88E-139,
25,Rotational,,nokic,new detection,GAIA DR2 2076489109908182400,Gaia DR3 2076489109908182400,,field,rotating,NEW,MS,1.881271,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_025.png,https://drive.google.com/file/d/1DQx72sRhCQ0r_yCCC_5KUyao2FzQiE4P/view?usp=sharing,https://drive.google.com/file/d/1RYDU_zKJZYelpXGeMVHYDavAZBKf87WT/view?usp=sharing,19 40 48.76 +40 16 48.51,295.2031567,40.2801409,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.20315669999997%2040.2801409,0.5315555282,1.401094009,0.4112618,-3.736389843,0.47237542,-5.651358273,0.50469863,1.3213463,1.1057394,20.142881,null,null,null,null,null,20.741,0.049,,,0.966,0.105,,,20.8946,0.0199,20.1982,0.0178,19.8685,0.0233,19.7642,0.032,19.5722,0.0513,,,,,,,,,,,,,,,,,,,,,,,,4943,,,,,,,,,,,,,,,nan,,,,1.87E-83,2.59E-22,1.67E-79,
26,Rotational,5112151,nodata,new detection,GAIA DR2 2076488869389772800,Gaia DR3 2076488869389772800,,field,rotating,NEW,MS,18.500306,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_026.png,https://drive.google.com/file/d/1cR3zjQtu9XthRAZx6tAiCabcUZP-juBx/view?usp=sharing,https://drive.google.com/file/d/1WrTYHLXKBHrbSMuNxgw4D6DNWZ9l9pDu/view?usp=sharing,19 40 59.54 +40 16 30.35,295.2480809,40.27509758,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2480809%2040.27509758,0.05405315999,0.3113589605,0.13830002,-2.876070106,0.17459576,-4.247632532,0.1744912,1.4418583,1.2165381,18.811876,null,null,null,null,null,19.324,0.015,,,1.124,0.033,,,19.704,0.0155,18.8059,0.0094,18.4226,0.0035,18.2572,0.0204,18.124,0.0121,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,1,0.16,0.8810418866,0.7078509256,0.6607620552,0.6550796911,0.7078509256,0.6607620552,0.6550796911,
27,Rotational,5111878,nodata,new detection,GAIA DR2 2076489079855048320,Gaia DR3 2076489079855048320,,field,rotating,NEW,MS,5.262507,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_027.png,https://drive.google.com/file/d/1pAstkxTOQRLozoktq6uaMCUjSiI3r3lp/view?usp=sharing,https://drive.google.com/file/d/19mrWWimTJyph1oBDo2r650vkJTnr9soH/view?usp=sharing,19 40 46.17 +40 16 35.09,295.1923926,40.276415,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.19239260000006%2040.276415,0.1900235002,0.2471253686,0.046793934,-0.4925906677,0.0525789,-4.619509031,0.052010488,0.9547138,1.2094829,16.775417,15.612,15.258,15.321,null,null,,,,,,,,,17.241,0.0046,16.7595,0.0036,16.5841,0.003,16.5191,0.0062,16.4595,0.0037,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,4.91E-80,8.48E-64,4.00E-77,4.91E-80,8.48E-64,4.00E-77,
28,Rotational,5111830,nodata,,Cl* NGC 6819 SHLP 26763,Gaia DR3 2076492030485722880,,field,rotating_BY Dra_vsx,ST05,MS,3.161304,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_028.png,https://drive.google.com/file/d/1HRPPmV00pvBnjvQDeSfKvUqq0xEed0m2/view?usp=sharing,https://drive.google.com/file/d/1bR0Yp0s5LKRm24Tqd6D3VJebZ9uRs4rk/view?usp=sharing,19 40 43.62 +40 17 26.21,295.1817361,40.29061513,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1817361%2040.29061513,0.316325162,0.7736204289,0.1643908,-1.933890929,0.18102266,-3.879658513,0.20979452,1.8755627,1.2739855,18.913624,16.652,16.005,15.883,null,null,19.389,0.017,-0.581,0.076,0.882,0.033,,,19.875,0.0308,18.8585,0.0067,18.3202,0.016,18.0523,0.0164,17.7768,0.0214,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,1.66E-24,1.02E-08,6.90E-23,1.66E-24,1.02E-08,6.90E-23,
29,Rotational,,nokic,new detection,GAIA DR2 2076488942409044864,Gaia DR3 2076488942409044864,,?_field_Plastias13,rotating,NEW,?,1.449483,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_029.png,https://drive.google.com/file/d/1U7T43W1KrDgosmpMSPCcxykV2JeUoIq8/view?usp=sharing,https://drive.google.com/file/d/1dK8idZWigPrzfFQwztV6-mxS3IZ8K5XT/view?usp=sharing,19 40 56.79 +40 16 38.38,295.2366458,40.2773273,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2366458%2040.277327299999996,0.6899011579,,,,,,,,,,16.526,15.802,14.952,null,null,,,,,,,,,,,21.9226,0.031,20.1357,0.0183,19.4973,0.0296,19.1227,0.0247,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,,,,
30,Rotational,5112104,30sc/11lc,,KIC 5112104,Gaia DR3 2076488942416130688,,cluster,rotating,McQuillan14,MSTO,5.649,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_030.png,,,19 40 57.33 +40 16 27.52,295.2388552,40.27431092,,,,,-3.0352397,6.165989,http://aladin.u-strasbg.fr/AladinLite/?target=295.2388552%2040.27431092,0.1770224819,0.3807051138,0.015780168,-2.830364113,0.018115973,-3.802029266,0.018837668,0.8578758,1.2035733,14.592606,13.476,13.237,13.139,null,null,14.76,0.003,0.084,0.005,0.604,0.003,14.76,0.77,14.9987,0.0019,14.5988,0.003,14.4615,0.0014,14.4184,0.0063,14.36,0.0019,Solar like,,,,,,,,,,,,,,,,,,,,18013,18013,,5760,,,,,2.13,0.25,3.4,1.2,2.13,0.25,2.13,0.25,,,nan,0.9874616817,0.9625750753,0.989557291,0.9874616817,0.9625750753,0.989557291,
31,Rotational,5111815,14lc,,KIC 5111815,Gaia DR3 2076492034792541952,,cluster,rotating,VSX,MSTO,3.575,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_031.png,,,19 40 42.63 +40 17 8.48,295.1776308,40.28568821,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.17763080000003%2040.28568821,0.2797202797,0.33030606,0.019161193,-2.802191599,0.020960893,-3.534993062,0.021647135,0.82501507,1.2026999,14.9476795,13.905,13.615,13.652,null,null,15.079,0.003,0.022,0.006,0.575,0.004,15.11,0.75,15.3271,0.0023,14.942,0.0053,14.8169,0.0031,14.7728,0.0028,14.7346,0.0022,,,,,,,,,,,,,,,,,,,,,23018,23018,,nan,,,,,-20.16,19.52,,,-20.16,19.52,-6.02,6.98,,,0.9611074229,0.8301853169,0.7450663455,0.8996655079,0.8301853169,0.7450663455,0.8996655079,
32,Rotational,5112025,nodata,new detection,GAIA DR2 2076488835030026752,Gaia DR3 2076488835030026752,,field,rotating,NEW,MS,6.120791,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_032.png,https://drive.google.com/file/d/14YSIv5zuFXgKHvb1OmY1TbTbbIRiYuNW/view?usp=sharing,https://drive.google.com/file/d/15xXBAH4YQi23ctzimIdspGl9OXgRk3JS/view?usp=sharing,19 40 53.52 +40 16 2.32,295.222989,40.26731184,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.22298900000004%2040.26731184,0.1633775765,0.2907584276,0.16310582,-2.443083561,0.19913544,-3.371652519,0.21221372,1.2121658,1.2065313,18.933449,null,null,null,null,null,19.312,0.015,-1.081,0.056,1.084,0.032,,,19.6367,0.0128,18.9413,0.0117,18.641,0.0067,18.4813,0.0371,18.4264,0.014,,,,,,,,,,,,,,,,,,,,,,,,5312.71,,,,,,,,,,,,,,,nan,,0.008540851338,,0.01234111796,0.008540851338,0.006670037912,
35,Rotational,5111760,nodata,new detection,GAIA DR2 2076491656835403776,Gaia DR3 2076491656835403776,,field,rotating,NEW,MS,6.718781,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_035.png,https://drive.google.com/file/d/187B6uij3ZIptDzt-808_krXgcVlEoh-A/view?usp=sharing,https://drive.google.com/file/d/1wkSu66WepnbG8Y5j42lPiLqkv4VemGjE/view?usp=sharing,19 40 39.52 +40 16 42.12,295.1646643,40.27836598,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1646643%2040.27836598,0.1488365226,0.8887288639,0.02951592,-0.7645172201,0.035879705,-8.826394987,0.03419859,1.0453062,1.2224685,15.7583475,14.394,13.998,13.863,null,null,,,,,,,,,16.2812,0.0018,15.7233,0.0037,15.5153,0.0028,15.4404,0.004,15.3772,0.0025,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,0,2.43E-250,0.00E-02,0,2.43E-250,0.00E-02,
37,Rotational,5111722,nodata,new detection,GAIA DR2 2076491519396420864,Gaia DR3 2076491519396420864,,field,rotating,NEW,below AGB,2.398688,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_037.png,https://drive.google.com/file/d/1M34rrvU8Xmu_BZqnFcU6Lwp1N97FNT6a/view?usp=sharing,https://drive.google.com/file/d/1wYTYZ1ezz9OOWig-VrmktgjMoK7k5E0F/view?usp=sharing,19 40 37.05 +40 14 58.71,295.1543563,40.24964157,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1543563%2040.24964157,0.416894569,1.543806759,0.22506523,-4.388071146,0.23487006,-9.13050137,0.26383087,2.5095196,1.5711495,19.045692,16.155,15.695,15.504,null,null,20.22,0.034,,,1.537,0.097,,,20.7904,0.0249,19.5438,0.0169,18.3181,0.0062,17.746,0.0215,17.4875,0.0032,one pixel,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,2.55,0.29,0.8585768788,,,,3.41E-259,1.95E-173,1.73E-246,
38,Pulsating,5111767,6lc,,KIC 5111767,Gaia DR3 2076488495739440128,,field,solar-like,Balona13,RGB,0.3937,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_038.png,,,19 40 39.72 +40 13 52.28,295.1654864,40.23118849,,,,,-43.097775,0.9793675,http://aladin.u-strasbg.fr/AladinLite/?target=295.16548639999996%2040.23118849,2.54000508,0.2427188475,0.012648477,-2.637311619,0.013673676,-6.770375783,0.013537995,1.4871178,1.2614673,13.641009,11.726,11.088,10.985,null,null,14.059,0.002,1.335,0.009,1.353,0.003,14.06,1.34,14.5983,0.0027,13.633,3.00E-04,13.286,,13.0321,0.0038,12.9263,0.0012,Solar like,LAMOST,4524(130),2.66(20),-49(3),0.196(0.121),,,,http://dr6.lamost.org/spectrum/view?obsid=162302043,,,,,,,,,,,7016,7016,G5,4767.4766,,,,,-43.5,0.51,,,-43.5,0.51,-43.5,0.51,0.99,0.46,0.6659753014,3.20E-81,1.96E-65,4.99E-77,3.20E-81,1.96E-65,4.99E-77,
39,Rotational,5111737,nodata,new detection,NGC 6819 25,Gaia DR3 2076491618168829184,,field,rotating,NEW,MS,2.165384,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_039.png,https://drive.google.com/file/d/1IaWRqlrSyONeurTYga4E7ixF6DMXyAob/view?usp=sharing,https://drive.google.com/file/d/1EPZQl-tL0A0ScFIHWM_HihNNZRF6ppVN/view?usp=sharing,19 40 38.09 +40 15 52.54,295.1587046,40.26459354,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1587046%2040.26459354,0.4618118542,0.2833470872,0.13204083,-2.686060537,0.1423873,-4.189470456,0.15144147,1.0722122,1.3968568,16.894,15.512,15.05,14.921,null,null,16.976,0.003,0.369,0.018,0.845,0.005,,,17.3122,0.0057,16.7326,0.0064,16.5309,0.0036,16.4377,0.0097,16.3696,0.0056,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,0.94,0.18,0.8818807229,0.2979264602,0.4188798513,0.3721067135,0.2979264602,0.4188798513,0.3721067135,
