ID,TENTATIVE_TYPE,KIC,KIC_STATUS,NEW DETECTION,NAME,GAIA_ID,LITERATURE,MEMBER,VAR,VAR_REF,CMD,PERIOD,Q_PHASED,PHASED_LC,FT,COORDINATES,RA,DEC,DIST,Peph,Teph,EPH,GAIA_DR3_RV,GAIA_DR3_RV_ERR,LINK,FREQUENCY,PLX,PLXERR,PMRA,PMRAERR,PMDEC,PMDECERR,BP_RP,BPRP_EXCESS,GMAG,J_M,H_M,K_M,I_ROSVIK,IERR_ROSVIK,Vmag,e_Vmag,U_B,e_U_B,B_V,e_B_V,V_Milliman,VI_Miliiman,g,gerr,r,rerr,i,ierr,z,zerr,y,yerr,NOTES,USED_SPEC,Teff,logg,Rv,Fe/H,PETERS fits,NOT,APOGEE,LAMOST6_id,HECTOSPEC,APO35,XT_Teff,XT_Tefferr,XT_logg,XT_loggerr,XT_Rv,XT_Rverr,[M/H],XT_class,WOCS_XXIV,WOCS_LX,CLASS,TEFF,DR2_TEFF,DR2_LOGG,DR2_RV,DR2_RVERR,RV_HOLE,RV_HOLE_ER,RV_LEE,RV_LEE_ER,RV_PLASTIAS,RV_PLASTIAS_ER,RV_MILLIMAN,RV_MILLIMAN_ER,RV_GAO,RV_GAO_ER,RV_PROB,P5D-PM-POS-PLX,P4D-PM-POS,P3D-PM-PLX,P5D_nf,P4D_nf,P3D_nf,REF
432,Pulsators,5025464,15lc,,KIC 5025464,Gaia DR3 2076390192533257216,need 2020 MNRAS paper,field,gamma-dor,Frasca16,BS,0.4519569737,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_432.png,,,19 41 56.71 +40 11 33.53,295.4862988,40.19264772,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.4862988%2040.19264772,2.2126,0.9049163606,0.01668608,0.8688797718,0.017616734,-8.136768267,0.020463917,0.538743,1.1822094,13.121574,12.402,12.23,12.222,null,null,,,,,,,,,13.3131,0.001,13.38,,13.251,,13.1926,0.0123,13.1777,0.0029,no contamination,LAMOST,7182(30),4.078(50),-7(9),-0.243(0.028),,,,http://dr6.lamost.org/spectrum/view?obsid=367802039,,,,,,,,,,,,5015,F0,nan,,,,,0.65,0.84,,,0.65,0.84,0.65,0.84,,,nan,0,0.00E-02,0,0,0.00E-02,0,
433,Binary,5113461,nodata,,V* V2404 Cyg,Gaia DR3 2076393216188094336,,field,contact,ST02,MS,0.275129,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_433.png,https://drive.google.com/file/d/1b3b3TWo-kPTNyxbW-GFhhzvbOffZmdn8/view?usp=sharing,https://drive.google.com/file/d/1rEUbk5U_YLQRj0t9PI8IHpiUvtQxmgQd/view?usp=sharing,19 41 52.26 +40 12 23.8,295.46775,40.20661111,,0.275128153(42),2454964.73810(13),T = (0.2751281530218514 +/- 4.2119086008840545e-08)*E + (2454964.738102081 +/- 0.00012753340654353268),nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.46775%2040.20661111,3.634658651,-0.04262239274,0.24231274,-2.022111931,0.26177248,-3.128041719,0.2844893,1.5753975,1.206642,19.631569,null,null,null,null,null,20.087,0.027,,,1.199,0.063,,,20.616,0.0414,19.5231,0.0246,19.4103,0.0302,18.9981,0.0497,18.9412,0.0465,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,1.55,0.19,0.8732434896,,,,1.42E-18,3.75E-08,6.99E-18,WUMa wtype
434,Binary,5025311,nodata,,UCAC2 45858908,Gaia DR3 2076393108798736384,,field,binary,NEW,MS,1.956392,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_434.png,https://drive.google.com/file/d/1gYHD65MJENy6J6t7FCeROZYUotxZhnj2/view?usp=sharing,https://drive.google.com/file/d/1imI0QwpJ8Cn4a6mQejIFjQvrvjfCI-gJ/view?usp=sharing,19 41 49.45 +40 11 53.38,295.4560302,40.19815975,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.4560302%2040.19815975,0.5111450057,0.3796200419,0.021904955,-2.589587704,0.024033016,-4.513670817,0.026870027,0.7669153,1.1995339,15.471836,14.41,14.149,14.099,null,null,15.614,0.004,0.021,0.007,0.506,0.005,15.62,0.7,15.8147,0.0021,15.4928,0.0016,15.3734,0.0041,15.3441,0.0028,15.3125,0.004,,,,,,,,,,,,,,,,,,,,,39013,39013,,4882.3047,4500,3,-16.921516,1.1832268,,,,,,,,,,,nan,0.001167506773,0.0006840408814,0.0006553536419,0.001167506773,0.0006840408814,0.0006553536419,
435,Pulsating,5025162,15lc,,2MASS J19414284+4010361,Gaia DR3 2076392700791972992,,field,solar-like,NEW,below RGB,4.21541,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_435.png,https://drive.google.com/file/d/1aLbjEa54qccJzRqFV0HjAj0oviiv9elL/view?usp=sharing,https://drive.google.com/file/d/1LHwm6mPgUrHQT25qCu_I_4Q0PUK7hzKR/view?usp=sharing,19 41 42.85 +40 10 36.04,295.4285606,40.17667656,,,,,-17.630585,0.3404519,http://aladin.u-strasbg.fr/AladinLite/?target=295.4285606%2040.17667656,0.2372248488,0.2287358666,0.009784094,-0.8239578833,0.010701991,-6.116239862,0.011630788,1.8283253,1.3084841,12.622898,10.334,9.549,9.342,null,null,,,,,,,13.25,1.79,13.8038,0.0434,13.123,,12.423,,11.946,,11.703,,,,,,,,,,,,,,,,,,,,,,5010,5010,K4,nan,,,,,,,,,,,-3.49,4.47,,,0.9367356336,4.26E-111,1.63E-88,1.14E-105,4.26E-111,1.63E-88,1.14E-105,
436,Pulsating,5025101,2lc,,KIC 5025101,Gaia DR3 2076392769511450368,,field,solar-like,Balona13,below RGB,0.5317451877,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_436.png,,,19 41 41.01 +40 11 12.58,295.4208893,40.18682844,,,,,-51.341988,0.66124207,http://aladin.u-strasbg.fr/AladinLite/?target=295.4208893%2040.18682844,1.8806,0.3600270705,0.009638002,2.23496421,0.010820674,0.8778082499,0.011922442,1.5810089,1.2751446,13.003404,10.977,10.331,10.146,17.2128,0.05502453998,,,,,,,,,14.0403,0.0081,13.354,,12.781,,12.399,,12.3207,0.0568,solar like,LAMOST,4404(74),2.73(12),-60(4),0.102(0.072),,,,http://dr6.lamost.org/spectrum/view?obsid=579808043,,,,,,,,,,,6010,6010,G5,nan,,,,,,,,,,,,,,,nan,0,0,0,0,0,0,
438,Pulsators,5025047,nodata,new detection,GAIA DR2 2076392627762286336,Gaia DR3 2076392627762286336,,field,gamma-dor,NEW,below MS,0.714065,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_438.png,https://drive.google.com/file/d/1sjcAOlqUvJQ6cqdQQVzCDI6nj6aMfnbv/view?usp=sharing,https://drive.google.com/file/d/1CqwTrwGiQ7IvcrFuajti1vtLDGc0aEIa/view?usp=sharing,19 41 37.86 +40 10 1.44,295.4077659,40.16706616,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.4077659%2040.16706616,1.400432734,0.1154224021,0.09458998,-2.667918117,0.10326524,-3.110890728,0.11893566,0.68362236,1.1341864,18.250166,null,null,null,17.1051,0.04968400145,18.442,0.007,-0.04,0.028,0.419,0.012,,,18.5625,0.009,18.2766,0.0047,18.0385,0.011,17.9745,0.012,16.979,0.019,no contamination,NOT,6820(60),3.297(18),-49(3),-0.005(0.129),ok,https://astroserver.org/tracking/YIE7AQ.php?pass=wlbfjq,,,,,6820,60,3.297,0.018,49.3,3,-0.031,F2III?,,,,nan,,,,,-6.36,5.39,,,-6.36,5.39,-1.75,2.84,,,0.9169316875,,0.001389064656,,5.22E-07,0.001389064656,5.76E-07,
439,Rotational,5025003,15lc,,V* V1440 Cyg,Gaia DR3 2076392632072463232,,field,semi_regular_vsx,ASAS,AGB,80.584157,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_439.png,https://drive.google.com/file/d/1HJ7KsmY6yPyqcvdyHj-foIoQqTfxmrS-/view?usp=sharing,https://drive.google.com/file/d/1TUfAyNIZzz84tg1hOvC33R7jzaamYvQ4/view?usp=sharing,19 41 35.95 +40 9 43.84,295.3997745,40.16217852,,,,,11.557985,0.4387496,http://aladin.u-strasbg.fr/AladinLite/?target=295.39977450000004%2040.16217852,0.01240938712,0.9319912337,0.030210527,-5.114359878,0.03545727,-5.58584483,0.037203792,3.9558973,1.6792612,8.01059,4.481,3.405,2.855,null,null,,,,,,,,,12.5013,0.1189,,,7.8874,0.001,,,,,bigb,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,-17.43,0.24,,,-17.43,0.24,-17.43,0.24,2,0.21,0.9969252957,1.67E-101,6.14E-64,3.11E-93,1.67E-101,6.14E-64,3.11E-93,
440,Rotational,,nokic,new detection,19 41 31.16 +40 9 36.78,Gaia DR3 2076392799560963584,,cluster,rotating,NEW,MS,20.239164,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_440.png,https://drive.google.com/file/d/1TAcKPPoMtmafOD3jYMsx60XHFsSjjiHf/view?usp=sharing,https://drive.google.com/file/d/1iXDA8u8O3WXuKIVLLl9Y7mDofWkBU5-C/view?usp=sharing,19 41 31.16 +40 9 36.78,295.3798235,40.16021662,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.3798235%2040.16021662,0.04940915544,0.6243085624,0.18836401,-3.087154181,0.20510024,-3.946191202,0.23255652,1.822443,1.2846587,19.277954,null,null,null,null,null,20.111,0.026,,,1.508,0.077,,,20.6798,0.0203,19.3733,0.0509,18.7685,0.0085,18.4322,0.0152,18.0649,0.0171,eclibin new,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,-51.87,0.11,,,,,-51.87,0.11,,,0.5065457571,0.0004117240627,0.9566096945,0.001140125098,0.0004117240627,0.9566096945,0.001140125098,
441,Binary,5024801,nodata,new detection,UCAC2 45858684,Gaia DR3 2076298967427112448,,cluster,binary,NEW,MS,1.847169,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_441.png,https://drive.google.com/file/d/1uHghq9vAY3lskJUiBC1ZNJxP2YGYErtA/view?usp=sharing,https://drive.google.com/file/d/1w-KZumOFb1gyhuv0YX3QPYcxhRAYT2iJ/view?usp=sharing,19 41 28.59 +40 09 50.66,295.3691227,40.16407204,,1.847174(8),2454965.4858(29),T = (1.8471743565924275 +/- 9.18420447837777e-06)*E + (2454965.4858170827 +/- 0.0029382278294972234),nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.3691227%2040.16407204,0.5413689814,0.3959733481,0.018802065,-2.862041341,0.022222586,-3.809280397,0.023010673,0.8252907,1.204181,15.123427,14.032,13.804,13.779,null,null,15.333,0.004,0.068,0.007,0.56,0.004,15.28,0.76,15.5065,0.0022,15.1319,0.0047,15.0035,0.0031,14.9644,0.001,14.9219,0.0039,,,,,,,,,,,,,,,,,,,,,32006,32006,,nan,,,,,,,,,,,,,,,nan,0.9942631361,0.9767485676,0.9896878226,0.9942631361,0.9767485676,0.9896878226,
442,Pulsating,5024851,15lc,,KIC5024851,Gaia DR3 2076298761268676352,,cluster,solar-like,Hanberg17,RGB,2.558133586,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_442.png,,,19 41 30.29 +40 9 0.07,295.3762052,40.15002079,,,,,1.165404,1.1462406,http://aladin.u-strasbg.fr/AladinLite/?target=295.37620519999996%2040.15002079,0.39091,0.3682033265,0.010973204,-2.527364685,0.012741485,-3.664016569,0.013766568,1.8119745,1.3038195,11.136348,8.89,8.072,7.904,16.7862,0.0407530367,,,,,,,11.69,1.86,13.157,0.001,,,12.5803,,10.1714,0.1272,12.0069,0.1185,,APOGEE,4159(92),1.60(11),6.23(23),0.100(26),,,http://skyserver.sdss.org/dr12/en/tools/explore/summary.aspx?apid=2M19413031+4009005,http://dr6.lamost.org/spectrum/view?obsid=52908038,,,,,,,,,,,2008,2008,K4,nan,,,,,,,,,,,,,,,nan,0.7973272296,0.4760202478,0.6342315328,0.7973272296,0.4760202478,0.6342315328,
